position,title
Q21070416,First Lady
Q20204943,Chief Executive Officer
Q5096777,Chief Justice
Q112999611,Governor of Daykundi
Q112999711,Governor of Farah
Q112999447,Governor of Ghazni
Q112999624,Governor of Herat
Q59566528,Governor of Kandahar
Q112999570,Governor of Nangarhar
Q112999513,Governor of Nimruz
Q108611570,Mayor of Kabul
Q60324339,Mayor of Kandahar
Q40337969,ambassador to Canada
Q29987201,ambassador to France
Q24942017,ambassador to India
Q112999507,ambassador to Jordan
Q112999429,ambassador to the Netherlands
Q40774424,ambassador to Pakistan
Q30593861,ambassador to the People's Republic of China
