position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the House of the People,Ahmad Behzad,Q25938142,2005,2018,male,1974,,Ahmad Behzad-600x400.jpg,Ahmad Behzad
Member of the House of the People,Abdul Rauf Ibrahimi,Q5917451,2005,,male,1962,,Abdul Rauf Ibrahimi.jpg,Abdul Rauf Ibrahimi
Member of the House of the People,Shagufa Noorzai,Q108324810,2019-04-26,,female,1996,,,
Member of the House of Elders,Abdul Bagi Baryal,Q4665292,2005,2010,male,,,,Abdul Baqi Baryal
Member of the House of Elders,Mohammad Omar Samim,Q6892277,2005,2009,male,1961,,,Mohammad Omar Samim
