position,person,personID,start,gender,DOB,DOD,image,enwiki
Supreme Leader,Hibatullah Akhundzada,Q24237654,2016-05-25,male,1961,,,Hibatullah Akhundzada
Deputy Leader,Sirajuddin Haqqani,Q2246940,2021-08-15,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Deputy Leader,Mohammad Yaqoob,Q24572400,2021-08-15,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Deputy Leader,Abdul Ghani Baradar,Q317219,2021-08-15,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Prime Minister,Mohammad Hasan Akhund,Q108444479,2021-09-07,male,1945,,Hasan Akhund.png,Hasan Akhund
Deputy Prime Minister,Abdul Ghani Baradar,Q317219,2021-09-07,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Minister of Defence,Mohammad Yaqoob,Q24572400,2021-09-07,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Minister of Economy,Din Mohammad Hanif,Q108130732,2021-09-07,male,1955,,,Din Mohammad Hanif
Minister of Finance,Gul Agha Ishakzai,Q21662937,2021-08-24,male,1972,,,Gul Agha Ishakzai
Minister of Foreign Affairs,Amir Khan Muttaqi,Q60499905,2021-09-07,male,1970,,Amir Khan Muttaqi in November 2021.png,Amir Khan Muttaqi
Minister of Higher Education,Abdul Baqi Haqqani,Q108321646,2021-08-29,male,1961,,,Abdul Baqi Haqqani
Minister of Housing and Urban Development,Rokhan Wolasmal,Q47544884,2018-06-18,male,,,,
Minister of the Interior,Sirajuddin Haqqani,Q2246940,2021-09-07,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
