wanted,position,positionid,from,start,end
Q98635245,Minister of Higher Education,Q112999598,Q108321646,2021-08-29,
Q477828,Deputy Leader,Q112999416,Q2246940,2021-08-15,
Q7424823,Deputy Leader,Q112999416,Q24572400,2021-08-15,
Q193968,Supreme Leader,Q108130107,Q2829007,2015-07-29,2016-05-21
Q4665452,Chief Executive Officer,Q20204943,Q317556,2014-09-29,2021-08-15
Q113100212,Minister of Commerce and Industries,Q113100187,Q3270084,2010-06-28,2013-11
Q3270084,Minister of Economy,Q113100092,Q4665350,2010-01-16,2014-12-09
Q3918461,Minister of the Interior,Q112999531,Q866594,2010-01-06,2012-09-15
Q903527,Minister of Housing and Urban Development,Q112999545,Q10947979,2005-01,2009-12
Q167526,Minister of Defence,Q112999440,Q317373,2004-12-23,2012-08-07
Q4696012,Vice President,Q3246669,Q115596,2004-12-07,2014-09-29
Q903527,Governor of Kandahar,Q59566528,Q10947979,2003-08,2004-12
Q2995293,Deputy Leader,Q112999416,Q317219,2002-05,2010-02-08
Q167139,Minister of Housing and Urban Development,Q112999545,Q10947979,2002-04,2003-08
