item,itemLabel,startDate,endDate,sourceDate,psid
Q56292468,Sher Mohammad Abbas Stanikzai,1996,2001,2022-07-09,Q56292468-02E950F4-120C-4040-95BC-CE588A8AE1FD
Q2982411,Wakil Ahmed Muttawakil,1999-10-27,2001-10,2022-07-09,Q2982411-FF919A1A-5166-4F9C-8132-92F7B96B764B
Q317556,Abdullah Abdullah,2001-12-22,2006-03-21,,Q317556-6809C258-5B59-424F-9D9B-F60FC8A4A0F8
Q77348,Rangin Dadfar Spanta,2006-05-02,2010-01-18,2022-07-09,Q77348-B03B8A16-496B-4192-8FF8-12A699E41678
Q145180,Zalmai Rassoul,2010-01-18,2013-10-28,2022-07-09,Q145180-5FA51417-2F44-4760-A582-A0C46FACAFEF
Q4695423,Zarar Ahmad Osmani,2013-10-28,2014-12-12,2022-07-09,Q4695423-D73E35CC-AD4E-434D-8026-892F01E1E360
Q19271885,Atiqullah Atifmal,2014-12-12,2015-02-01,2022-07-09,Q19271885-2307635C-A4AA-4555-A3DB-B8FE2B9F4B59
Q7403481,Salahuddin Rabbani,2015-02-01,2019-10-23,2022-07-09,Q7403481-6375A022-540E-468B-9C06-07B205C2DFD8
Q3918461,Mohammad Haneef Atmar,2020-04-04,2021-08-15,2022-07-09,Q3918461-808BA06A-4392-4CAE-A611-A659BE74202E
Q60499905,Amir Khan Muttaqi,2021-09-07,,2022-07-09,Q60499905-3C0C2931-637D-4101-9261-5796E2612A45
